class,image,handedness,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
A,A.jpg,Left,0.02449481002986431,0.002554230159148574,0.09043367207050323,-0.001324843498878181,-0.0018135468708351254,0.07150886207818985,-0.0178319551050663,-0.015669604763388634,0.053318485617637634,-0.04083068668842316,-0.02750270441174507,0.026890728622674942,-0.0550629086792469,-0.04879647120833397,-0.004213911481201649,-0.011247306130826473,-0.005044846795499325,0.0005331265274435282,-0.037095703184604645,0.012443781830370426,-0.0006934760604053736,-0.039653386920690536,0.014689584262669086,0.026073364540934563,-0.03788219392299652,-0.0010303790913894773,0.054286614060401917,-0.004338664934039116,-0.000516123662237078,-0.0029379031620919704,-0.02620326541364193,0.008287438191473484,-0.008837112225592136,-0.024071546271443367,0.00910163577646017,0.008151194080710411,-0.018063504248857498,-0.0038681654259562492,0.027661772444844246,0.007746248971670866,0.0008494078647345304,-0.00316843343898654,-0.010659153573215008,0.01569744013249874,-0.006651674397289753,-0.013600070029497147,0.018381888046860695,0.011513258330523968,-0.0027550531085580587,0.016669025644659996,0.0365852452814579,0.016515860334038734,0.014867682941257954,0.012644660659134388,0.0024414469953626394,0.025695020332932472,-0.0026664771139621735,0.0036764631513506174,0.02532709203660488,0.004495454020798206,0.010051856748759747,0.024486001580953598,0.020509177818894386
B,B.jpg,Right,-0.04945196956396103,0.0714547410607338,0.002539311069995165,-0.02291569858789444,0.06905804574489594,0.018560878932476044,0.009902368299663067,0.06413569301366806,0.028747910633683205,0.03153311461210251,0.05644732341170311,0.043772827833890915,0.04499029368162155,0.039295535534620285,0.047677911818027496,0.004653651267290115,-0.0017311971168965101,0.024143585935235023,0.0319313108921051,-0.006712961010634899,0.0219655092805624,0.0457819327712059,0.006808901205658913,0.028319651260972023,0.04996166378259659,0.02297239936888218,0.026007000356912613,-0.0007638144306838512,-0.008627819828689098,0.00500223133713007,0.03461994230747223,-0.015816593542695045,0.0037299799732863903,0.04904145002365112,-0.004308019764721394,0.00406618369743228,0.055562447756528854,0.01480826921761036,0.007935145869851112,-0.0017084088176488876,-8.167116902768612e-06,-0.016063250601291656,0.03223412483930588,-0.014548118226230145,-0.019318528473377228,0.04998713731765747,0.0019357167184352875,-0.017711395397782326,0.06132003664970398,0.020220918580889702,-0.007810654118657112,-0.0063401032239198685,0.009187922812998295,-0.03094642423093319,0.02135344408452511,0.009594906121492386,-0.03227816894650459,0.04261985421180725,0.020938817411661148,-0.025821242481470108,0.05362382158637047,0.037029724568128586,-0.015547783114016056
C,C.jpg,Right,-0.04057394340634346,0.07431727647781372,0.03847767040133476,-0.015553656965494156,0.06123632937669754,0.04720604792237282,0.01690702885389328,0.05591820925474167,0.04740038514137268,0.04869991913437843,0.053745582699775696,0.04441031441092491,0.06912971287965775,0.04702961817383766,0.035874124616384506,0.009899391792714596,-0.009917428717017174,0.025883005931973457,0.032718025147914886,-0.02753513678908348,0.015735028311610222,0.05534916743636131,-0.03086896799504757,0.011665839701890945,0.07497013360261917,-0.02874545380473137,-0.004582324530929327,-0.0013989091385155916,-0.008586456067860126,0.004428063053637743,0.03637540340423584,0.006204844452440739,-0.005151089746505022,0.03313641995191574,0.025840535759925842,0.013546307571232319,0.015634918585419655,0.025914549827575684,0.03408132493495941,-0.0060915760695934296,0.004335533361881971,-0.01781301759183407,0.021972350776195526,0.021737458184361458,-0.019535209983587265,0.020716149359941483,0.03964222967624664,-0.003251999616622925,0.005104909650981426,0.04244253411889076,0.012851332314312458,-0.015260322019457817,0.021855659782886505,-0.02843477949500084,0.009407798759639263,0.035176631063222885,-0.028792105615139008,0.011566544882953167,0.045861661434173584,-0.00897977128624916,-0.0017730370163917542,0.04549192637205124,0.0048103295266628265
D,D.jpg,Left,0.027981610968708992,0.07254531234502792,0.056678880006074905,-0.005123253911733627,0.0539315789937973,0.05175723508000374,-0.022197898477315903,0.04261687025427818,0.03704868257045746,-0.04107547551393509,0.03427721932530403,0.005631586071103811,-0.06052381545305252,0.02673698402941227,-0.01865970529615879,-0.01968850940465927,-0.008231567218899727,0.017253370955586433,-0.03511001542210579,-0.03056185133755207,0.0027052585501223803,-0.051012225449085236,-0.03518041595816612,-0.013616194017231464,-0.0691317543387413,-0.031334035098552704,-0.03282485157251358,-0.003465487388893962,-0.005187397822737694,0.0029675394762307405,-0.02303547039628029,0.0013680909760296345,-0.015747373923659325,-0.028106730431318283,0.028643006458878517,0.0026894500479102135,-0.010532586835324764,0.027970274910330772,0.032339271157979965,0.01574123650789261,0.004409941378980875,-0.011677277274429798,-0.009734741412103176,0.023072851821780205,-0.021635213866829872,-0.010115601122379303,0.041575487703084946,-0.0018601655028760433,0.005791277624666691,0.03818396106362343,0.01774297095835209,0.024383682757616043,0.026242051273584366,-0.019734181463718414,0.0029524406418204308,0.033951614052057266,-0.02760738506913185,0.0007158911321312189,0.04616888612508774,-0.009662310592830181,0.011647863313555717,0.043250635266304016,0.007024646271020174
E,E.jpg,Right,-0.039176397025585175,0.07166564464569092,0.04896729066967964,-0.014648446813225746,0.05534780025482178,0.04777456074953079,0.017010996118187904,0.05062001571059227,0.04787622019648552,0.0433894507586956,0.047522395849227905,0.037022680044174194,0.060070451349020004,0.04382884502410889,0.02195688709616661,0.007285517640411854,-0.012663787230849266,0.021505026146769524,0.024294011294841766,-0.03572649508714676,0.008678154088556767,0.04252709820866585,-0.04557738080620766,-0.0011234770063310862,0.06182371824979782,-0.04616326838731766,-0.01829393394291401,-0.0013770877849310637,-0.008197853341698647,0.0032994018401950598,0.03459698706865311,0.0032673412933945656,-0.003660549409687519,0.03213561326265335,0.02151399664580822,0.015280899591743946,0.01303801778703928,0.016096031293272972,0.03426140546798706,-0.005724540911614895,0.007436673156917095,-0.013395500369369984,0.02116904966533184,0.019763125106692314,-0.015864335000514984,0.023368142545223236,0.03850744664669037,0.0021559090819209814,0.008322084322571754,0.03825387731194496,0.018115172162652016,-0.01338730938732624,0.025057479739189148,-0.021144041791558266,0.0101696802303195,0.03348302096128464,-0.019874103367328644,0.014133256860077381,0.04761688783764839,-0.0006159484619274735,0.004081269726157188,0.04664860665798187,0.012173277325928211
F,F.jpg,Right,-0.060127414762973785,-0.009261718019843102,0.03783334419131279,-0.03718007355928421,-0.021232815459370613,0.037265025079250336,-0.012396554462611675,-0.015404663980007172,0.0373866893351078,0.0036576478742063046,-0.010093695484101772,0.029609311372041702,0.016866736114025116,-0.0033501898869872093,0.025064658373594284,0.005237968172878027,-0.007312101311981678,0.002912938129156828,0.02563423104584217,-0.006671573966741562,0.002904464490711689,0.04451252520084381,-0.0057816170156002045,0.01655394397675991,0.06505812704563141,-0.0038972124457359314,0.029370907694101334,0.0017915621865540743,-0.001684442162513733,-0.0003256885102018714,0.025658803060650826,0.0054961200803518295,0.00114255934022367,0.04454810544848442,-0.0023251865059137344,0.011761073023080826,0.056553907692432404,-1.2196600437164307e-05,0.02084268629550934,-0.0006739327218383551,0.004776562098413706,-0.0025782419834285975,0.009452222846448421,0.007055071648210287,0.005314364563673735,0.008504700846970081,0.005529103800654411,0.018904386088252068,-0.001663349336013198,0.008282207883894444,0.032641150057315826,-0.011524181813001633,0.00910012237727642,0.002877632388845086,-0.0007680770941078663,0.014960408210754395,0.009138966910541058,-0.0028748917393386364,0.013923544436693192,0.02705281786620617,-0.012338820844888687,0.01034184917807579,0.034199245274066925
G,G.jpg,Left,0.033491332083940506,0.01901036873459816,0.07103300094604492,0.012189369648694992,-0.008592469617724419,0.0579061396420002,-0.0011148378252983093,-0.020998306572437286,0.04581698030233383,-0.009750986471772194,-0.018092351034283638,0.01853872463107109,-0.017213650047779083,-0.01137448288500309,-0.005316697992384434,-0.003317523980513215,-0.004148487001657486,0.0006298587541095912,-0.011957245878875256,-0.001146896742284298,0.0008250775863416493,-0.010702603496611118,-0.0030990317463874817,0.02787918411195278,-0.007667974568903446,-0.00564607884734869,0.050151973962783813,-5.031493492424488e-05,0.0019858740270137787,-0.0019320559222251177,-0.007672690786421299,-0.0031628271099179983,0.0002607126662041992,-0.012054696679115295,0.002863109577447176,0.022687774151563644,-0.010949425399303436,-0.0012503326870501041,0.044488538056612015,0.001109819975681603,0.0013415433932095766,-0.0016429786337539554,-0.006444241851568222,0.005945164244621992,0.004287450108677149,-0.010638517327606678,0.009233592078089714,0.027429336681962013,-0.006514344364404678,0.0043770428746938705,0.04696538299322128,0.0027712187729775906,0.0129881352186203,0.008737334050238132,-0.010560045018792152,0.016122499480843544,0.014501054771244526,-0.011416623368859291,0.01686319336295128,0.03530121222138405,-0.003647139295935631,0.016457969322800636,0.046596135944128036
H,H.jpg,Right,-0.06157394498586655,0.005179945379495621,0.035870157182216644,-0.04212106391787529,-0.020389756187796593,0.02983601577579975,-0.02846996858716011,-0.027848437428474426,0.028240792453289032,-0.017491035163402557,-0.044015467166900635,0.01603355072438717,-0.0034740492701530457,-0.061364516615867615,0.009690840728580952,0.001249114517122507,-0.016863074153661728,0.0059633697383105755,0.024135300889611244,-0.012341499328613281,0.0031121643260121346,0.04919271543622017,-0.012001628056168556,0.010416354052722454,0.06482649594545364,-0.012559548020362854,0.01590079255402088,0.0021902250591665506,-0.0015884789172559977,0.0016451369738206267,0.031884122639894485,0.00273689441382885,-0.002019336214289069,0.05992363393306732,-0.00396939180791378,0.0016320698196068406,0.08447837829589844,-0.005769483745098114,0.016181960701942444,0.0006132121197879314,0.011911535635590553,-0.004771840758621693,0.02508121356368065,0.012966846115887165,-0.0042406003922224045,0.05202404037117958,0.012947248294949532,0.002700359793379903,0.08101218938827515,0.00478740781545639,0.015080463141202927,-0.006132648792117834,0.0215175561606884,0.00028085176018066704,0.0132155055180192,0.02749350294470787,0.003018466290086508,0.03511379286646843,0.031955525279045105,0.006583033595234156,0.053919412195682526,0.019632041454315186,0.012648855336010456
I,I.jpg,Left,0.03421007841825485,0.05894399434328079,0.06139003112912178,0.01883876696228981,0.030735155567526817,0.057742588222026825,0.002803484909236431,0.016215389594435692,0.04552130028605461,-0.021472010761499405,0.015337676741182804,0.023319484665989876,-0.04301970824599266,0.018675876781344414,-0.006229389924556017,-0.004470628686249256,-0.016589684411883354,0.013724965043365955,-0.01729307696223259,-0.03774935007095337,0.003919690381735563,-0.031207658350467682,-0.05599427595734596,0.002716889139264822,-0.050887007266283035,-0.07667043805122375,-0.010998107492923737,-0.001870140084065497,-0.004811807535588741,0.0009609867702238262,-0.02727232500910759,-0.0029126994777470827,-0.0036004988942295313,-0.03333878144621849,0.010779600590467453,0.014199857600033283,-0.019497273489832878,0.01146868895739317,0.03662165626883507,0.0024233139120042324,0.008527449332177639,-0.008734014816582203,-0.023722872138023376,0.018861975520849228,-0.005984537303447723,-0.025668632239103317,0.027807770296931267,0.014846459962427616,-0.011059802956879139,0.027188777923583984,0.033627476543188095,0.00216593942604959,0.030699925497174263,-0.00857234001159668,-0.016438374295830727,0.03729550912976265,-0.004962755832821131,-0.01636074297130108,0.04108421877026558,0.014739444479346275,-0.007542669773101807,0.04353218525648117,0.026647277176380157
J,0.jpg,Right,-0.054661739617586136,0.006193160079419613,0.06865005940198898,-0.02873757854104042,-0.016383038833737373,0.053874529898166656,-0.012327998876571655,-0.027705686166882515,0.03469708934426308,-0.0017944439314305782,-0.04586901515722275,0.006344438996165991,0.007094038184732199,-0.07152601331472397,-0.01617458462715149,0.0046380069106817245,-0.01219584047794342,-0.002560501918196678,0.027829095721244812,-0.015630628913640976,-0.003570823697373271,0.049609363079071045,-0.022474035620689392,0.012880167923867702,0.07188881933689117,-0.029180804267525673,0.02511640079319477,0.0008440015371888876,-0.002326053101569414,-0.0014543569413945079,0.02447781153023243,0.0058693960309028625,0.0015673887683078647,0.01790425553917885,-0.003622788703069091,0.027865972369909286,0.007344950921833515,-0.005484400317072868,0.05812379717826843,-0.001743349595926702,0.009836327284574509,0.00041564085404388607,0.014170116744935513,0.010302534326910973,0.012495040893554688,0.009521006606519222,0.009215153753757477,0.0388781800866127,0.0015994251007214189,0.009751822799444199,0.06503463536500931,-0.009109701961278915,0.015274275094270706,0.01385551504790783,0.006021306850016117,0.017457185313105583,0.017752671614289284,0.006616456434130669,0.018280191347002983,0.03948146477341652,-0.005930030718445778,0.015219888649880886,0.05605252832174301
